id,name,children
640,勞動部勞動力發展署技能檢定中心,
636,勞動部勞動基金運用局,
638,勞動部職業安全衛生署,
655,勞動部勞動及職業安全衛生研究所,
509,衛生福利部,509;510;511;7088;513;514;831;823;515;7334;958;516
510,衛生福利部社會救助及社工司,
511,中醫藥司,
7088,衛生福利部會計處,
513,衛生福利部疾病管制署,
514,衛生福利部中央健康保險署,
831,衛生福利部國家中醫藥研究所,
823,衛生福利部社會及家庭署,
515,衛生福利部國民健康署,515;7334
7334,衛生福利部國民健康署主計室,
958,衛生福利部雲林教養院,
516,衛生福利部食品藥物管理署,
517,文化部,
489,科技部,489;952;749;959
952,科技部新竹科學工業園區管理局,
749,科技部中部科學工業園區管理局,
959,科技部南部科學工業園區管理局,
491,國家發展委員會,491;492
492,國家發展委員會檔案管理局,
518,行政院主計總處,
519,行政院人事行政總處,519;829;825
829,行政院人事行政總處公務人力發展中心,
825,行政院人事行政總處地方行政研習中心,
737,飛航安全調查委員會,
797,立法院,
748,司法院,748;802;770;773;772;832;806;786;795;776;819;768;785;775;759;789;814;833;766;804;816;767;801;782;822;793;811;805;778;813;791;835;821;818;827;798;837
802,臺北高等行政法院,
770,臺中高等行政法院,
773,高雄高等行政法院,
772,最高行政法院,
832,公務員懲戒委員會,
806,最高法院,
786,臺灣高等法院,786;795;776;819;768;785;775;759;789;814;833;766;804;816;767;801;782;822;793;811;805;778;813;791;835
795,臺灣高等法院臺中分院,
776,臺灣高等法院臺南分院,
819,臺灣高等法院花蓮分院,
768,臺灣高等法院高雄分院,
785,臺灣臺北地方法院,
775,臺灣桃園地方法院,
759,臺灣新竹地方法院,
789,臺灣臺中地方法院,
814,臺灣彰化地方法院,
833,臺灣雲林地方法院,
766,臺灣嘉義地方法院,
804,臺灣臺南地方法院,
816,臺灣高雄地方法院,
767,臺灣屏東地方法院,
801,臺灣臺東地方法院,
782,臺灣花蓮地方法院,
822,臺灣宜蘭地方法院,
793,臺灣基隆地方法院,
811,臺灣澎湖地方法院,
805,臺灣南投地方法院,
778,臺灣士林地方法院,
813,臺灣苗栗地方法院,
791,臺灣高雄少年及家事法院,
835,臺灣新北地方法院,
821,福建連江地方法院,
818,福建高等法院金門分院,
827,福建金門地方法院,
798,智慧財產法院,
837,法官學院,
729,考試院,729;826;820;781;728;842;788
826,考選部,
820,銓敘部,820;781
781,公務人員退休撫卹基金管理委員會,
728,公務人員退休撫卹基金監理委員會,
842,公務人員保障暨培訓委員會,842;788
788,國家文官學院,
736,監察院,736;691
691,審計部,
800,國家安全會議,
598,基隆市政府,598;615
615,基隆市衛生局,
7469,雲林縣政府,
845,嘉義縣政府,845;948
948,嘉義縣社會局,
595,嘉義市政府,595;678
678,嘉義市政府衛生局,
647,澎湖縣政府,
953,金門縣政府,
520,臺南市政府,
490,國家災害防救科技中心,
246,原始資料,
259,系統介接程式,
276,行動化應用軟體,
546,其他,
