id,name,total,OK,內容問題,內容問題/空白欄位,內容問題/重覆欄位,下載問題,內容問題/純數字欄位,內容問題/欄位過長,內容問題/亂碼
685,國立臺灣科學教育館,6,5,1,1,0,0,0,0,0
477,中華郵政股份有限公司,14,2,12,3,2,0,12,2,0
672,總統府,2,0,1,1,0,1,0,0,0
449,經濟部投資審議委員會,1,1,0,0,0,0,0,0,0
669,財政部推動促參司,3,1,2,2,1,0,0,0,0
465,台灣電力股份有限公司,14,0,0,0,0,14,0,0,0
662,財政部北區國稅局,1,1,0,0,0,0,0,0,0
430,外交部,3,2,1,1,0,0,0,0,0
517,文化部,15,14,0,0,0,1,0,0,0
439,財政部法制處,4,2,1,1,1,1,0,0,0
492,國家發展委員會檔案管理局,6,4,0,0,0,2,0,0,0
689,台灣中油股份有限公司石化事業部,1,1,0,0,0,0,0,0,0
950,台灣中油股份有限公司,6,6,0,0,0,0,0,0,0
654,交通部臺灣區國道高速公路局南區工程處,1,0,0,0,0,1,0,0,0
660,財政部賦稅署,1,1,0,0,0,0,0,0,0
640,勞動部勞動力發展署技能檢定中心,3,3,0,0,0,0,0,0,0
468,民用航空局,4,1,0,0,0,3,0,0,0
686,教育部青年發展署,2,1,0,0,0,1,0,0,0
949,經濟部國際合作處,2,2,0,0,0,0,0,0,0
462,台灣中油股份有限公司油品行銷事業部,1,1,0,0,0,0,0,0,0
437,財政部南區國稅局,1,1,0,0,0,0,0,0,0
663,財政部中區國稅局,2,0,2,0,1,0,2,0,1
731,教育部國民及學前教育署,1,0,1,0,1,0,0,0,0
450,經濟部國營事業委員會,2,2,0,0,0,0,0,0,0
459,技術處,1,0,0,0,0,1,0,0,0
730,教育部體育署,3,3,0,0,0,0,0,0,0
953,金門縣政府,1,0,0,0,0,1,0,0,0
610,經濟部專業人員研究中心,1,0,1,1,0,0,0,0,0
671,法務部檢察司,1,0,0,0,0,1,0,0,0
